TEST	Tissue	correlation	cor_pvalue	Pheno	Name
ADD	Esophagus - Muscularis	0.0619181140208425	0.749667006353419	K50	Crohn's
ADD	Kidney - Cortex	0.220016065966631	0.301584175179917	K50	Crohn's
ADD	Liver	0.266179338699455	0.219574743108778	K50	Crohn's
ADD	Lung	0.38075664390776	0.0804287631289769	K50	Crohn's
ADD	Pancreas	0.220889970799951	0.278190492166385	K50	Crohn's
ADD	Skin - Not Sun Exposed (Suprapubic)	0.378997176438848	0.0677891912158134	K50	Crohn's
ADD	Stomach	0.357505216848794	0.061795764433948	K50	Crohn's
ADD	Thyroid	0.492242534719563	0.0077945546865827	K50	Crohn's
ADD	Whole Blood	0.446978283966641	0.145164924245594	K50	Crohn's
DOMDEV	Artery - Aorta	0.0267374958656604	0.896841180969361	K50	Crohn's
DOMDEV	Artery - Coronary	0.146462065192908	0.494664924445598	K50	Crohn's
DOMDEV	Cells - EBV - transformed lymphocytes	0.533380911962357	0.00727376066899631	K50	Crohn's
DOMDEV	Colon - Transverse	0.248069325539663	0.186245119566308	K50	Crohn's
DOMDEV	Esophagus - Mucosa	0.126498106317359	0.605826475645932	K50	Crohn's
DOMDEV	Esophagus - Muscularis	0.300402009386516	0.113335694917878	K50	Crohn's
DOMDEV	Kidney - Cortex	-0.0786562635302618	0.714863883511838	K50	Crohn's
DOMDEV	Liver	0.263627651975848	0.224193511117627	K50	Crohn's
DOMDEV	Lung	0.119006058576749	0.597856023290631	K50	Crohn's
DOMDEV	Pancreas	-0.233219347362041	0.251545881660046	K50	Crohn's
DOMDEV	Skin - Not Sun Exposed (Suprapubic)	0.103702319989778	0.629650810688535	K50	Crohn's
DOMDEV	Stomach	0.559976077709642	0.00194339533112728	K50	Crohn's
DOMDEV	Thyroid	0.347283526212092	0.0701875040195892	K50	Crohn's
DOMDEV	Whole Blood	0.520516448058895	0.0827410186272565	K50	Crohn's
ADD	Artery - Aorta	0.251420088662246	0.215358277943966	K80	Cholelithiasis
ADD	Artery - Coronary	-0.146166823668606	0.49554478192985	K80	Cholelithiasis
ADD	Cells - EBV - transformed lymphocytes	0.509134554906462	0.0110544983901701	K80	Cholelithiasis
ADD	Colon - Transverse	0.0188705449277548	0.921158133090801	K80	Cholelithiasis
ADD	Esophagus - Mucosa	0.26768849651544	0.267867385174747	K80	Cholelithiasis
ADD	Esophagus - Muscularis	0.0754484913616226	0.697286757831648	K80	Cholelithiasis
ADD	Kidney - Cortex	-0.117136675827882	0.58568584967642	K80	Cholelithiasis
ADD	Liver	0.00383621089574157	0.986139984345696	K80	Cholelithiasis
ADD	Lung	0.292354007717094	0.186740182034004	K80	Cholelithiasis
ADD	Pancreas	0.164605190259847	0.421657166245011	K80	Cholelithiasis
ADD	Skin - Not Sun Exposed (Suprapubic)	-0.140983669695941	0.511116819812929	K80	Cholelithiasis
ADD	Stomach	0.254111315744373	0.191937762623424	K80	Cholelithiasis
ADD	Thyroid	0.0496798901218359	0.801774864238546	K80	Cholelithiasis
ADD	Whole Blood	0.539883117303449	0.0700088445470878	K80	Cholelithiasis
DOMDEV	Artery - Aorta	0.0711373142831543	0.729847051948629	K80	Cholelithiasis
DOMDEV	Artery - Coronary	0.164259160729539	0.44309567951915	K80	Cholelithiasis
DOMDEV	Cells - EBV - transformed lymphocytes	0.179619681034676	0.400998127080652	K80	Cholelithiasis
DOMDEV	Colon - Transverse	0.286583157197433	0.12468755560489	K80	Cholelithiasis
DOMDEV	Esophagus - Mucosa	0.266244578069997	0.270555768899818	K80	Cholelithiasis
DOMDEV	Esophagus - Muscularis	0.161285247410208	0.40324767468537	K80	Cholelithiasis
DOMDEV	Kidney - Cortex	-0.197547484383554	0.354819647344002	K80	Cholelithiasis
DOMDEV	Liver	0.0402994422178177	0.855139315174176	K80	Cholelithiasis
DOMDEV	Lung	0.125661625387427	0.57737907211626	K80	Cholelithiasis
DOMDEV	Pancreas	0.0108510617657453	0.958042669426308	K80	Cholelithiasis
DOMDEV	Skin - Not Sun Exposed (Suprapubic)	-0.00908580031688525	0.966390533037234	K80	Cholelithiasis
DOMDEV	Stomach	0.383176271753121	0.0441462616649772	K80	Cholelithiasis
DOMDEV	Thyroid	0.30705412465185	0.111976991545833	K80	Cholelithiasis
DOMDEV	Whole Blood	0.34202326420144	0.27651521231763	K80	Cholelithiasis
